pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
135.914001,-86.569773,180,top,C1,CL31B104KBCNFNC,1206,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
135.914001,-89.871773,0,top,C2,CL31B104KBCNFNC,1206,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
107.211001,-117.176773,0,bottom,J1,ASP-134488-01,ASP-134488-01,ASP-134488-01,Samtec_ASP-134488-01,smt
102.904001,-79.076773,0,bottom,J2,ASP-134488-01,ASP-134488-01,ASP-134488-01,Samtec_ASP-134488-01,smt
128.294001,-98.117273,90,top,J3,302-S241,,IDC-Header_2x12_P2.54mm_Latch_Vertical,Conn_02x12_Odd_Even,tht
177.213001,-117.176773,0,bottom,J4,ASP-134488-01,ASP-134488-01,ASP-134488-01,Samtec_ASP-134488-01,smt
181.520001,-79.076773,0,bottom,J5,ASP-134488-01,ASP-134488-01,ASP-134488-01,Samtec_ASP-134488-01,smt
135.914001,-108.794773,90,top,J6,BHR-12-VUA,,IDC-Header_2x06_P2.54mm_Vertical,Conn_02x06_Odd_Even,tht
102.904001,-79.076773,180,top,J7,Do not populate,,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,Samtec_ASP-134486-01,smt
181.520001,-79.076773,180,top,J8,Do not populate,,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,Samtec_ASP-134486-01,smt
139.724001,-88.220773,90,top,U1,SN74LVC2T45DCUR,8-VFSOP,VSSOP-8_2.4x2.1mm_P0.5mm,SN74LVC2T45DCUR,smt
